,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
874,Intermediate Functional Tester Cash Management and Payments 2726,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$5K - $8K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
875,Quality Assurance Tester,"Rapsys Technologies
4.7",4.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
876,Software Tester,SEDHA CONSULTING PTE. LTD.,-1,Employer Provided Salary:$8K - $15K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
877,Manual Tester,"Quess Corp Limited
3.5",3.5,$33K - $48K (Glassdoor Est.),Singapore,3.3,3.0,3.2,3.1,3.3,"['""Salary is good if you have Knowledge"" (in 62 reviews)', '""Cool management."" (in 27 reviews)', '""No benefits at all from the organization they will not even reach out to the resources once deployed to the client location"" (in 18 reviews)', '""work life balance is good"" (in 18 reviews)', -1]","['""More work less salary at client location"" (in 62 reviews)', '""Worst Management and they don\'t have basic antiques to talk with employees."" (in 27 reviews)', '""No benefits, No sick leaves, No casual leaves, Only earned leaves which will not be encashed even when you resign."" (in 18 reviews)', '""No job security"" (in 19 reviews)', '""work life balance is good"" (in 18 reviews)']"
878,Software Tester (SG),Unison Consulting Pte Ltd,-1,$40K - $78K (Glassdoor Est.),Singapore,4.1,3.9,3.9,4.1,4.2,"['""Great Work Life Balance"" (in 7 reviews)', '""3. Good management ."" (in 8 reviews)', '""Giving employees with best pay packages in Industry."" (in 9 reviews)', '""3. Management and HR team is very supportive."" (in 2 reviews)', -1]","['""Too much ownership and no processes"" (in 2 reviews)', -1, -1, -1, -1]"
879,Software Tester,"NTT Data Singapore
3.9",3.9,Employer Provided Salary:$5K - $7K,Singapore,3.8,3.4,3.9,3.6,3.9,"['""Work life balance is good"" (in 83 reviews)', '""Good management and work culture"" (in 58 reviews)', '""Working culture is very good and good salary"" (in 113 reviews)', '""Benefits are great."" (in 32 reviews)', '""Good work environment"" (in 88 reviews)']","['""No work life balance in Nttdata"" (in 83 reviews)', '""Bad management"" (in 58 reviews)', '""slowly progression and low salaries comparing to the cost of living in the country"" (in 113 reviews)', '""all ER provided benefits are bad"" (in 32 reviews)', -1]"
880,Quality Assurance Engineer,Lapp Asia Pacific Pte Ltd,-1,Employer Provided Salary:$3K - $3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
881,Research Assistant (E-Test),"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""A lot of money for research and good salaries"" (in 230 reviews)', '""Work life balance is good"" (in 198 reviews)', '""Good working environment"" (in 198 reviews)', '""NTU has advanced facilities for research and friendly colleagues."" (in 74 reviews)', -1]","['""low salary and very comeptitive"" (in 230 reviews)', '""No work life balance"" (in 198 reviews)', '""No career progression due to contract nature"" (in 164 reviews)', '""Average working environment, too many people"" (in 198 reviews)', '""Colleagues are easy to work with"" (in 74 reviews)']"
882,"Low-Code Developer, Digital & Emerging Tech, Technology Consulting","EY
3.9",3.9,$57K - $90K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
883,Quality Ambassador (Tester),"PSA International
3.7",3.7,$43K - $60K (Glassdoor Est.),Singapore,3.5,3.8,3.5,3.3,3.0,"['""Good benefits and work life balance"" (in 10 reviews)', '""Friendly colleagues willing to help"" (in 8 reviews)', '""Bonus are good (to keep you staying on average salary until Happy Months in Bonus Month April and End of Year AWS.)"" (in 14 reviews)', '""Flexible benefits and good bonus"" (in 7 reviews)', '""Good working environment with friendly colleagues"" (in 10 reviews)']","['""No work life balance."" (in 10 reviews)', '""bonuses is based on fixed component, which puts employees at a disadvantage."" (in 14 reviews)', '""Very rigid working environment."" (in 10 reviews)', -1, -1]"
884,Software Tester,"TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.
3.2",3.2,Employer Provided Salary:$4K - $5K,Singapore,2.4,2.4,3.4,3.3,2.8,"['""3. Company have many client partners, possible to get more exposure if have opportunities to station at different client companies throughout your tenure."" (in 1 reviews)', '""4. HR is friendly and professional to work with, management will meet staff bi"" (in 1 reviews)', -1, -1, -1]","['""On top of needing to send monthly timesheet, staffs are required to submit report to note down your work in details to management weekly + need to meet management bi"" (in 1 reviews)', -1, -1, -1, -1]"
885,Senior Software Developer,"Kinexcs Pte Ltd
3.8",3.8,Employer Provided Salary:$5K - $9K,Queenstown Estate,3.6,3.3,3.6,3.6,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
886,"Engineer Assistant, Software QA /Associate QA Engi...","Creative Technology Ltd
4.1",4.1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
887,Software Tester,"GMP Group
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
888,QA Manual Tester - J42314,"ScienTec Consulting
3.8",3.8,Employer Provided Salary:$4K,Singapore,3.4,3.7,3.3,3.6,3.4,"['""2. Good benefits"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
889,QA Tester,"Creatella
4.4",4.4,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
890,QA Engineer - Banking,ALAN PARTNERS SG PTE. LTD.,-1,Employer Provided Salary:$5K - $10K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
891,Software Tester,"PERSOLKELLY
3.3",3.3,Employer Provided Salary:$3K - $4K,Singapore,3.0,2.9,3.3,3.1,3.4,"['""Good salary and bonus."" (in 6 reviews)', '""Management is friendly and caring"" (in 2 reviews)', -1, -1, -1]","['""Could provide better bonus for team"" (in 6 reviews)', '""Benefits wise not much in the company"" (in 3 reviews)', '""Poor management , squid game, burning peoples career development ."" (in 1 reviews)', '""great team"" (in 1 reviews)', -1]"
892,Quality Analyst - Tester,"U3 Infotech Pte Ltd.
4.5",4.5,$74K - $121K (Glassdoor Est.),Singapore,4.4,4.0,4.2,4.3,4.3,"['""Attractive Good salary and benefit’s."" (in 14 reviews)', '""interview process was done quickly too, love working with them, very understanding HR."" (in 11 reviews)', '""People are kind and coordinate whenever needed."" (in 7 reviews)', '""They have good clients well known in Singapore and across world."" (in 5 reviews)', -1]","['""While resigning they will take your 1 month of salary."" (in 14 reviews)', '""Basic benefits"" (in 5 reviews)', -1, -1, -1]"
893,"QA Engineer III, Tools + Gameplay - League of Legends","Riot Games
4.3",4.3,$106K - $136K (Glassdoor Est.),Singapore,4.1,4.4,4.2,3.8,4.1,"['""Amazing culture, fun place to work, and the work itself is interesting!"" (in 11 reviews)', '""Freedom, good work life balance, flexible, high bar, good growth opportunities"" (in 8 reviews)', '""If you are a 2x3 or 3x2 on a 9 box (which you will be graded on), you can expect to stay at Riot as long as you want at a decent compensation."" (in 13 reviews)', '""Love working here everyone is nice and helpful"" (in 12 reviews)', '""Benefits are competitive for sure, and there are many different packages"" (in 9 reviews)']","['""Gaming culture"" (in 11 reviews)', '""Almost everyone on my team started within the last year."" (in 12 reviews)', -1, -1, -1]"
894,Software Design Quality Engineer (Medical Devices),"Illumina
3.8",3.8,-1,Woodlands New Town,-1,-1,-1,-1,-1,"['""Good benefits provided to employee and dependents"" (in 62 reviews)', '""great people that seem to love what they do and love working here"" (in 82 reviews)', '""good work life balance"" (in 43 reviews)', '""Great culture and networking"" (in 63 reviews)', '""Friendly people, good pay and well defined career path."" (in 55 reviews)']","['""Treat contractors better as they don\'t receive much benefit for putting in equal or more work."" (in 62 reviews)', '""Those same smart people tend to want to reinvent the wheel"" (in 82 reviews)', '""no work life balance."" (in 43 reviews)', '""Culture has changed over the past 5 years"" (in 63 reviews)', '""pay is low doesn\'t understand how to run a software company"" (in 55 reviews)']"
895,Customer Quality Assurance Assistant Engineer,Lapp Asia Pacific Pte Ltd,-1,Employer Provided Salary:$3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
896,Staff QA Engineer (Coupang Play),"Coupang
3.6",3.6,$108K - $142K (Glassdoor Est.),Singapore,3.5,3.5,3.1,3.0,3.0,"['""Senior engineers or managers are not so smart, you will find work easy if you are a fine engineer"" (in 7 reviews)', '""class engineers Good opportunities waiting for you"" (in 13 reviews)', '""good salary, they also provide the brand new laptop to work"" (in 12 reviews)', '""Good benefits, well organized system."" (in 8 reviews)', -1]","['""Work life balance is NO good"" (in 14 reviews)', '""Alternative days off promised by managers are not reliable since plans are subject to frequent changes."" (in 7 reviews)', '""low salary."" (in 12 reviews)', '""Not much benefit"" (in 8 reviews)', -1]"
897,Lead Engineer,"S&P Global
4.2",4.2,$63K - $96K (Glassdoor Est.),Singapore,3.8,3.8,4.2,3.8,4.3,"['""Good Work Life balance and commute services"" (in 157 reviews)', '""benefits are good but not that much"" (in 93 reviews)', '""Product base company and good salary."" (in 120 reviews)', '""Good work culture and payout"" (in 87 reviews)', '""People in my team were great."" (in 70 reviews)']","['""no work life balance though"" (in 157 reviews)', '""Healthy benefits"" (in 93 reviews)', '""Low salary hikes compared to market"" (in 120 reviews)', '""Work culture is awful."" (in 87 reviews)', '""Great people everywhere but everybody is in extremely different time zones which sometimes makes things difficult."" (in 70 reviews)']"
898,Product Management & Design Intern,"Arcadier
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
899,QA Tester_Beginner,"PERSOLKELLY
3.3",3.3,$33K - $96K (Glassdoor Est.),Singapore,3.0,2.9,3.3,3.1,3.4,"['""Competitive Salaries, they can give salary you want"" (in 12 reviews)', '""Good Clients,"" (in 4 reviews)', '""Very friendly and helpful colleagues"" (in 3 reviews)', -1, -1]","['""They will negotiate with you and reduce your salary"" (in 12 reviews)', '""No benefits are provided to employees"" (in 4 reviews)', '""Contact job ,salary less, need focus on employees"" (in 3 reviews)', -1, -1]"
900,Functional Tester/Quality Assurance,"ADECCO PERSONNEL PTE LTD
3.7",3.7,Employer Provided Salary:$6K - $12K,Singapore,3.4,3.3,3.5,3.3,3.4,"['""Salary is good and in time"" (in 45 reviews)', '""Everything good and management supportive."" (in 18 reviews)', '""Good clients and transpire process"" (in 16 reviews)', '""Insurance benefits after 90 days"" (in 11 reviews)', -1]","['""Salary get credited after 5th of every month"" (in 45 reviews)', '""Bad Management and slow improvement process"" (in 18 reviews)', '""No hours and too much traveling"" (in 16 reviews)', '""Poor benefits and chances of moving up."" (in 11 reviews)', -1]"
901,Quality Engineer (Software QA Tester),"Morgan McKinley
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"['""Good Career growth"" (in 1 reviews)', '""Good Work culture"" (in 1 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
902,Manual Tester,"Quess Corp Limited
3.5",3.5,$33K - $48K (Glassdoor Est.),Singapore,3.3,3.0,3.2,3.1,3.3,"['""Salary is good if you have Knowledge"" (in 62 reviews)', '""Cool management."" (in 27 reviews)', '""No benefits at all from the organization they will not even reach out to the resources once deployed to the client location"" (in 18 reviews)', '""work life balance is good"" (in 18 reviews)', -1]","['""More work less salary at client location"" (in 62 reviews)', '""Worst Management and they don\'t have basic antiques to talk with employees."" (in 27 reviews)', '""No benefits, No sick leaves, No casual leaves, Only earned leaves which will not be encashed even when you resign."" (in 18 reviews)', '""No job security"" (in 19 reviews)', '""work life balance is good"" (in 18 reviews)']"
903,Intermediate Functional Tester Cash Management -2727,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$8K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
904,Functional Tester Cash Management and Payments,"SOFTENGER (SINGAPORE) PTE. LTD.
4.0",4.0,Employer Provided Salary:$8K - $9K,Singapore,3.9,3.5,3.7,3.8,3.8,"['""Work culture in Softenger is good."" (in 8 reviews)', '""Good salary"" (in 12 reviews)', '""HR Management is Good."" (in 6 reviews)', '""Work life balance is good."" (in 3 reviews)', '""Good work environment"" (in 6 reviews)']","['""Less salary."" (in 12 reviews)', '""Management is not at all engaged with employees."" (in 6 reviews)', '""No work life No work life No work life balance"" (in 3 reviews)', -1, -1]"
905,Quality Assurance Tester,"Rapsys Technologies
4.7",4.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
906,Intermediate Functional Tester Cash Management and Payments 2726,"ASPIRE NXT PTE. LTD.
2.9",2.9,Employer Provided Salary:$5K - $8K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 4 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 6 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 4 reviews)', -1, -1]"
907,Software Tester (SG),Unison Consulting Pte Ltd,-1,$40K - $78K (Glassdoor Est.),Singapore,4.1,3.9,3.9,4.1,4.2,"['""Great Work Life Balance"" (in 7 reviews)', '""3. Good management ."" (in 8 reviews)', '""Giving employees with best pay packages in Industry."" (in 9 reviews)', '""3. Management and HR team is very supportive."" (in 2 reviews)', -1]","['""Too much ownership and no processes"" (in 2 reviews)', -1, -1, -1, -1]"
908,Software Tester,"NTT Data Singapore
3.9",3.9,Employer Provided Salary:$5K - $7K,Singapore,3.8,3.4,3.9,3.6,3.9,"['""Work life balance is good"" (in 83 reviews)', '""Good management and work culture"" (in 58 reviews)', '""Working culture is very good and good salary"" (in 113 reviews)', '""Benefits are great."" (in 32 reviews)', '""Good work environment"" (in 88 reviews)']","['""No work life balance in Nttdata"" (in 83 reviews)', '""Bad management"" (in 58 reviews)', '""slowly progression and low salaries comparing to the cost of living in the country"" (in 113 reviews)', '""all ER provided benefits are bad"" (in 32 reviews)', -1]"
909,Software Tester,SEDHA CONSULTING PTE. LTD.,-1,Employer Provided Salary:$8K - $15K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
910,Quality Assurance Engineer,Lapp Asia Pacific Pte Ltd,-1,Employer Provided Salary:$3K - $3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
911,Quality Ambassador (Tester),"PSA International
3.7",3.7,$43K - $60K (Glassdoor Est.),Singapore,3.5,3.8,3.5,3.3,3.0,"['""Good benefits and work life balance"" (in 10 reviews)', '""Friendly colleagues willing to help"" (in 8 reviews)', '""Bonus are good (to keep you staying on average salary until Happy Months in Bonus Month April and End of Year AWS.)"" (in 14 reviews)', '""Flexible benefits and good bonus"" (in 7 reviews)', '""Good working environment with friendly colleagues"" (in 10 reviews)']","['""No work life balance."" (in 10 reviews)', '""bonuses is based on fixed component, which puts employees at a disadvantage."" (in 14 reviews)', '""Very rigid working environment."" (in 10 reviews)', -1, -1]"
912,"Engineer Assistant, Software QA /Associate QA Engi...","Creative Technology Ltd
4.1",4.1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
913,QA Manual Tester - J42314,"ScienTec Consulting
3.8",3.8,Employer Provided Salary:$4K,Singapore,3.4,3.7,3.3,3.6,3.4,"['""2. Good benefits"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
914,QA Tester,"Creatella
4.4",4.4,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
915,"Low-Code Developer, Digital & Emerging Tech, Technology Consulting","EY
3.9",3.9,$57K - $90K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
916,Software Tester,"TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.
3.2",3.2,Employer Provided Salary:$4K - $5K,Singapore,2.4,2.4,3.4,3.3,2.8,"['""3. Company have many client partners, possible to get more exposure if have opportunities to station at different client companies throughout your tenure."" (in 1 reviews)', '""4. HR is friendly and professional to work with, management will meet staff bi"" (in 1 reviews)', -1, -1, -1]","['""On top of needing to send monthly timesheet, staffs are required to submit report to note down your work in details to management weekly + need to meet management bi"" (in 1 reviews)', -1, -1, -1, -1]"
917,"QA Engineer III, Tools + Gameplay - League of Legends","Riot Games
4.3",4.3,$106K - $136K (Glassdoor Est.),Singapore,4.1,4.4,4.2,3.8,4.1,"['""Amazing culture, fun place to work, and the work itself is interesting!"" (in 11 reviews)', '""Freedom, good work life balance, flexible, high bar, good growth opportunities"" (in 8 reviews)', '""If you are a 2x3 or 3x2 on a 9 box (which you will be graded on), you can expect to stay at Riot as long as you want at a decent compensation."" (in 13 reviews)', '""Love working here everyone is nice and helpful"" (in 12 reviews)', '""Benefits are competitive for sure, and there are many different packages"" (in 9 reviews)']","['""Gaming culture"" (in 11 reviews)', '""Almost everyone on my team started within the last year."" (in 12 reviews)', -1, -1, -1]"
918,Software Tester,"GMP Group
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
919,Customer Quality Assurance Assistant Engineer,Lapp Asia Pacific Pte Ltd,-1,Employer Provided Salary:$3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
920,Research Assistant (E-Test),"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""A lot of money for research and good salaries"" (in 230 reviews)', '""Work life balance is good"" (in 198 reviews)', '""Good working environment"" (in 198 reviews)', '""NTU has advanced facilities for research and friendly colleagues."" (in 74 reviews)', -1]","['""low salary and very comeptitive"" (in 230 reviews)', '""No work life balance"" (in 198 reviews)', '""No career progression due to contract nature"" (in 164 reviews)', '""Average working environment, too many people"" (in 198 reviews)', '""Colleagues are easy to work with"" (in 74 reviews)']"
921,Software Design Quality Engineer (Medical Devices),"Illumina
3.8",3.8,-1,Woodlands New Town,-1,-1,-1,-1,-1,"['""Good benefits provided to employee and dependents"" (in 62 reviews)', '""great people that seem to love what they do and love working here"" (in 82 reviews)', '""good work life balance"" (in 43 reviews)', '""Great culture and networking"" (in 63 reviews)', '""Friendly people, good pay and well defined career path."" (in 55 reviews)']","['""Treat contractors better as they don\'t receive much benefit for putting in equal or more work."" (in 62 reviews)', '""Those same smart people tend to want to reinvent the wheel"" (in 82 reviews)', '""no work life balance."" (in 43 reviews)', '""Culture has changed over the past 5 years"" (in 63 reviews)', '""pay is low doesn\'t understand how to run a software company"" (in 55 reviews)']"
922,Staff QA Engineer (Coupang Play),"Coupang
3.6",3.6,$108K - $142K (Glassdoor Est.),Singapore,3.5,3.5,3.1,3.0,3.0,"['""Senior engineers or managers are not so smart, you will find work easy if you are a fine engineer"" (in 7 reviews)', '""class engineers Good opportunities waiting for you"" (in 13 reviews)', '""good salary, they also provide the brand new laptop to work"" (in 12 reviews)', '""Good benefits, well organized system."" (in 8 reviews)', -1]","['""Work life balance is NO good"" (in 14 reviews)', '""Alternative days off promised by managers are not reliable since plans are subject to frequent changes."" (in 7 reviews)', '""low salary."" (in 12 reviews)', '""Not much benefit"" (in 8 reviews)', -1]"
923,QA Engineer - Banking,ALAN PARTNERS SG PTE. LTD.,-1,Employer Provided Salary:$5K - $10K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
924,QA Tester_Beginner,"PERSOLKELLY
3.3",3.3,$33K - $96K (Glassdoor Est.),Singapore,3.0,2.9,3.3,3.1,3.4,"['""Competitive Salaries, they can give salary you want"" (in 12 reviews)', '""Good Clients,"" (in 4 reviews)', '""Very friendly and helpful colleagues"" (in 3 reviews)', -1, -1]","['""They will negotiate with you and reduce your salary"" (in 12 reviews)', '""No benefits are provided to employees"" (in 4 reviews)', '""Contact job ,salary less, need focus on employees"" (in 3 reviews)', -1, -1]"
925,Software Tester,"PERSOLKELLY
3.3",3.3,Employer Provided Salary:$3K - $4K,Singapore,3.0,2.9,3.3,3.1,3.4,"['""Good salary and bonus."" (in 6 reviews)', '""Management is friendly and caring"" (in 2 reviews)', -1, -1, -1]","['""Could provide better bonus for team"" (in 6 reviews)', '""Benefits wise not much in the company"" (in 3 reviews)', '""Poor management , squid game, burning peoples career development ."" (in 1 reviews)', '""great team"" (in 1 reviews)', -1]"
926,Quality Analyst - Tester,"U3 Infotech Pte Ltd.
4.5",4.5,$74K - $121K (Glassdoor Est.),Singapore,4.4,4.0,4.2,4.3,4.3,"['""Attractive Good salary and benefit’s."" (in 14 reviews)', '""interview process was done quickly too, love working with them, very understanding HR."" (in 11 reviews)', '""People are kind and coordinate whenever needed."" (in 7 reviews)', '""They have good clients well known in Singapore and across world."" (in 5 reviews)', -1]","['""While resigning they will take your 1 month of salary."" (in 14 reviews)', '""Basic benefits"" (in 5 reviews)', -1, -1, -1]"
927,Software Quality Assurance Engineer (Automation),"Sanderson-iKas Singapore Pte Ltd
4.6",4.6,$35K - $64K (Glassdoor Est.),Singapore,4.2,4.5,4.7,4.7,4.8,"['""Great working environment"" (in 3 reviews)', '""International platform which cares employees a lot"" (in 2 reviews)', '""Training budget, good company benefits"" (in 1 reviews)', '""eFinancialCareers allows people to grow and take on new challenges always working on projects that will improve the candidate and recruiter experience"" (in 1 reviews)', -1]","['""Unclear career paths and progression, but the definition of those is in progress."" (in 2 reviews)', -1, -1, -1, -1]"
928,Senior Software Developer,"Kinexcs Pte Ltd
3.8",3.8,Employer Provided Salary:$5K - $9K,Queenstown Estate,3.6,3.3,3.6,3.6,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
929,Quality Assurance Tester,"Grit Search
5.0",5.0,Employer Provided Salary:$1K,Singapore,4.8,4.6,4.8,4.8,4.8,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
930,Web developer / SEO Strategist,Gloria James-Civetta & Co,-1,Employer Provided Salary:$3K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
931,Software Development Engineer,"Thermo Fisher Scientific
3.4",3.4,-1,Tuas,-1,-1,-1,-1,-1,"['""Good work life balance and"" (in 162 reviews)', '""Good Pay and overtime available."" (in 221 reviews)', '""Good benefits Plenty of overtime"" (in 117 reviews)', '""Good management and good growth"" (in 129 reviews)', '""People are great and really friendly"" (in 157 reviews)']","['""There is no work life balance and project are not at all good."" (in 162 reviews)', '""Pay is low and not at levfel"" (in 221 reviews)', '""Benefits are horrible and expensive"" (in 117 reviews)', '""Poor Management/ Manager change very too often."" (in 129 reviews)', '""People are friendly but people aren\'t super close"" (in 157 reviews)']"
932,React Front End Developer/Web devs - REMOTE,"Bookipi
5.0",5.0,Employer Provided Salary:$4K - $6K,Singapore,4.6,4.4,5.0,4.6,4.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
933,Mobile Web Application Developer (React Native),BRAINDGE RECRUITMENT SOLUTIONS PTE. LTD.,-1,Employer Provided Salary:$4K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
934,Web Developer,"ALLIED CONTAINER (ENGINEERS & MANUFACTURERS) PTE LTD
3.1",3.1,Employer Provided Salary:$3K - $6K,Singapore,2.1,2.3,2.3,2.3,2.8,"['""Good people to work with"" (in 1 reviews)', '""Good for work life balance"" (in 1 reviews)', '""Relaxing working environment."" (in 1 reviews)', -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
935,Junior Web Developer (Digital Creative Agency),Human & Human Private Limited,-1,Employer Provided Salary:$2K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
936,"Software Engineer, AI Centre for Educational Technologies - School of Computing (1 year)","National University of Singapore
4.1",4.1,$27K - $48K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""good working environment and people are very helpful"" (in 14 reviews)', '""Good Work life balance"" (in 16 reviews)', '""friendly colleagues"" (in 9 reviews)', -1, -1]","['""Fixed salary for years and years, not attractive at all"" (in 12 reviews)', '""career Progression and future prospects"" (in 11 reviews)', -1, -1, -1]"
937,Frontend Engineer,"Remote Technology, Inc.
3.3",3.3,-1,Remote,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
938,MERN Full Stack Developer- WORK FROM HOME,"Bookipi
5.0",5.0,Employer Provided Salary:$50K - $65K,Singapore,4.6,4.4,5.0,4.6,4.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
939,Full Stack Developer,Synchestra Pte Ltd,-1,Employer Provided Salary:$5K - $7K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
940,Part-Time Lecturer for IE4717 Web Application Design,"Nanyang Technological University
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"['""good pay"" (in 25 reviews)', '""good facilities and enjoy to work with colleauge"" (in 38 reviews)', '""Friendly colleagues and environment"" (in 15 reviews)', '""flexible timing and slots available"" (in 13 reviews)', '""Supervisors are friendly"" (in 8 reviews)']","['""demanding workload and low pay"" (in 25 reviews)', '""Your supervisor will be very Strict to you"" (in 8 reviews)', -1, -1, -1]"
941,React.js Developer,BRAINDGE RECRUITMENT SOLUTIONS PTE. LTD.,-1,Employer Provided Salary:$4K - $7K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
942,Senior Web Designer and Technical Lead,"ETIQA INSURANCE PTE. LTD.
3.4",3.4,Employer Provided Salary:$6K - $9K,Singapore,3.4,3.8,3.3,3.1,3.3,"['""Good benefits across the board"" (in 2 reviews)', '""Company\'s direction is customer centric."" (in 1 reviews)', -1, -1, -1]","['""Poor management with poor vision, racial cards from top to bottom."" (in 2 reviews)', -1, -1, -1, -1]"
